camera_base_pose.position.x=-0.0148411 camera_base_pose.position.y=0.00959046 camera_base_pose.position.z=-0.000939
camera_base_pose.position.x=-0.0136549 camera_base_pose.position.y=-0.00216313 camera_base_pose.position.z=-0.00078592
camera_base_pose.position.x=-0.0464121 camera_base_pose.position.y=-0.0113662 camera_base_pose.position.z=-0.0135324
camera_base_pose.position.x=-0.0366177 camera_base_pose.position.y=-0.0114685 camera_base_pose.position.z=-0.0131572
camera_base_pose.position.x=-0.0532599 camera_base_pose.position.y=-0.009988 camera_base_pose.position.z=-0.0140237
camera_base_pose.position.x=-0.043415 camera_base_pose.position.y=-0.0119711 camera_base_pose.position.z=-0.0127532
camera_base_pose.position.x=-0.0427215 camera_base_pose.position.y=-0.0221864 camera_base_pose.position.z=-0.0125002
camera_base_pose.position.x=-0.0443071 camera_base_pose.position.y=-0.0181659 camera_base_pose.position.z=-0.0122765
camera_base_pose.position.x=-0.0476338 camera_base_pose.position.y=-0.0173989 camera_base_pose.position.z=-0.012759
camera_base_pose.position.x=-0.0390746 camera_base_pose.position.y=-0.0156048 camera_base_pose.position.z=-0.0122693
camera_base_pose.position.x=-0.0604403 camera_base_pose.position.y=-0.0130611 camera_base_pose.position.z=-0.0131481
camera_base_pose.position.x=0.422642 camera_base_pose.position.y=0.586648 camera_base_pose.position.z=0.0464366
camera_base_pose.position.x=-0.0339937 camera_base_pose.position.y=0.0756523 camera_base_pose.position.z=-0.00890417
camera_base_pose.position.x=-0.0467215 camera_base_pose.position.y=0.100488 camera_base_pose.position.z=-0.00923079
camera_base_pose.position.x=-0.0384377 camera_base_pose.position.y=0.100521 camera_base_pose.position.z=-0.00876817
camera_base_pose.position.x=-0.0495617 camera_base_pose.position.y=0.069252 camera_base_pose.position.z=-0.010224
camera_base_pose.position.x=-0.0343675 camera_base_pose.position.y=0.0576569 camera_base_pose.position.z=-0.0103686
camera_base_pose.position.x=-0.0892352 camera_base_pose.position.y=0.0675055 camera_base_pose.position.z=-0.0136861
camera_base_pose.position.x=-0.0420793 camera_base_pose.position.y=0.0786846 camera_base_pose.position.z=-0.0119221
camera_base_pose.position.x=-0.0444141 camera_base_pose.position.y=0.0779856 camera_base_pose.position.z=-0.0127522
camera_base_pose.position.x=-0.0379425 camera_base_pose.position.y=0.0708427 camera_base_pose.position.z=-0.01445
camera_base_pose.position.x=-0.0280693 camera_base_pose.position.y=0.0804731 camera_base_pose.position.z=-0.0144578
camera_base_pose.position.x=0.41976 camera_base_pose.position.y=0.63436 camera_base_pose.position.z=0.0437464
camera_base_pose.position.x=0.417861 camera_base_pose.position.y=0.560913 camera_base_pose.position.z=0.0434337
camera_base_pose.position.x=-0.0185023 camera_base_pose.position.y=0.117793 camera_base_pose.position.z=-0.0138169
camera_base_pose.position.x=-0.0196744 camera_base_pose.position.y=0.128482 camera_base_pose.position.z=-0.013222
camera_base_pose.position.x=0.0148371 camera_base_pose.position.y=0.127234 camera_base_pose.position.z=-0.0120618
camera_base_pose.position.x=0.00908974 camera_base_pose.position.y=0.119079 camera_base_pose.position.z=-0.0106789
camera_base_pose.position.x=0.505431 camera_base_pose.position.y=1.27365 camera_base_pose.position.z=0.0592593
