camera_base_pose.position.x=-0.147219 camera_base_pose.position.y=-0.0378068 camera_base_pose.position.z=-0.141683
camera_base_pose.position.x=-0.141497 camera_base_pose.position.y=-0.0525457 camera_base_pose.position.z=-0.145676
camera_base_pose.position.x=-0.153762 camera_base_pose.position.y=-0.0487246 camera_base_pose.position.z=-0.139338
camera_base_pose.position.x=-0.150865 camera_base_pose.position.y=-0.0474364 camera_base_pose.position.z=-0.143978
camera_base_pose.position.x=-0.158003 camera_base_pose.position.y=-0.0546068 camera_base_pose.position.z=-0.134466
camera_base_pose.position.x=-0.149418 camera_base_pose.position.y=-0.0504974 camera_base_pose.position.z=-0.139318
camera_base_pose.position.x=-0.153377 camera_base_pose.position.y=-0.0441568 camera_base_pose.position.z=-0.137446
camera_base_pose.position.x=-0.187815 camera_base_pose.position.y=-0.0287528 camera_base_pose.position.z=-0.121143
camera_base_pose.position.x=-0.184367 camera_base_pose.position.y=-0.0189855 camera_base_pose.position.z=-0.12111
camera_base_pose.position.x=-0.148066 camera_base_pose.position.y=-0.0336951 camera_base_pose.position.z=-0.123925
camera_base_pose.position.x=-0.153597 camera_base_pose.position.y=-0.0376511 camera_base_pose.position.z=-0.12953
camera_base_pose.position.x=-0.150917 camera_base_pose.position.y=-0.0458821 camera_base_pose.position.z=-0.137528
camera_base_pose.position.x=-0.055854 camera_base_pose.position.y=-0.164062 camera_base_pose.position.z=-0.238432
camera_base_pose.position.x=-0.14111 camera_base_pose.position.y=-0.0381769 camera_base_pose.position.z=-0.176609
camera_base_pose.position.x=-0.0414671 camera_base_pose.position.y=-0.177698 camera_base_pose.position.z=-0.285566
camera_base_pose.position.x=-0.04372 camera_base_pose.position.y=-0.177041 camera_base_pose.position.z=-0.285848
camera_base_pose.position.x=-0.1092 camera_base_pose.position.y=-0.0376102 camera_base_pose.position.z=-0.21579
camera_base_pose.position.x=-0.105869 camera_base_pose.position.y=-0.0354278 camera_base_pose.position.z=-0.216435
camera_base_pose.position.x=-0.108383 camera_base_pose.position.y=-0.00289619 camera_base_pose.position.z=-0.200077
camera_base_pose.position.x=-0.0729606 camera_base_pose.position.y=-0.0474913 camera_base_pose.position.z=-0.226179
camera_base_pose.position.x=-0.0566682 camera_base_pose.position.y=-0.0618546 camera_base_pose.position.z=-0.223432
