camera_base_pose.position.x=-0.0660819 camera_base_pose.position.y=-0.0242222 camera_base_pose.position.z=-0.0710967
camera_base_pose.position.x=-0.0624224 camera_base_pose.position.y=-0.0478694 camera_base_pose.position.z=-0.0854574
camera_base_pose.position.x=-0.0714562 camera_base_pose.position.y=-0.0292389 camera_base_pose.position.z=-0.0765607
camera_base_pose.position.x=-0.0574906 camera_base_pose.position.y=-0.0418994 camera_base_pose.position.z=-0.0813852
camera_base_pose.position.x=-0.0871647 camera_base_pose.position.y=-0.0163892 camera_base_pose.position.z=-0.0680093
camera_base_pose.position.x=-0.0873216 camera_base_pose.position.y=-0.0233416 camera_base_pose.position.z=-0.0639457
camera_base_pose.position.x=-0.0903271 camera_base_pose.position.y=-0.0262436 camera_base_pose.position.z=-0.0686129
camera_base_pose.position.x=-0.0701926 camera_base_pose.position.y=-0.0376977 camera_base_pose.position.z=-0.0733909
camera_base_pose.position.x=-0.0540871 camera_base_pose.position.y=-0.0387474 camera_base_pose.position.z=-0.0726698
camera_base_pose.position.x=-0.0501396 camera_base_pose.position.y=-0.010819 camera_base_pose.position.z=-0.0592971
camera_base_pose.position.x=-0.0407324 camera_base_pose.position.y=-0.011098 camera_base_pose.position.z=-0.0683978
camera_base_pose.position.x=-0.00703659 camera_base_pose.position.y=-0.0070449 camera_base_pose.position.z=-0.0544433
camera_base_pose.position.x=0.0073624 camera_base_pose.position.y=-0.0421859 camera_base_pose.position.z=-0.0740567
camera_base_pose.position.x=0.0160977 camera_base_pose.position.y=-0.00719644 camera_base_pose.position.z=-0.0568476
camera_base_pose.position.x=0.0353375 camera_base_pose.position.y=-0.025391 camera_base_pose.position.z=-0.074163
camera_base_pose.position.x=0.0414313 camera_base_pose.position.y=-0.00327113 camera_base_pose.position.z=-0.0695137
camera_base_pose.position.x=0.0640039 camera_base_pose.position.y=-0.00779688 camera_base_pose.position.z=-0.0729876
camera_base_pose.position.x=0.0589329 camera_base_pose.position.y=-0.0229208 camera_base_pose.position.z=-0.0823587
camera_base_pose.position.x=0.0819785 camera_base_pose.position.y=0.00663794 camera_base_pose.position.z=-0.0660262
camera_base_pose.position.x=0.0861729 camera_base_pose.position.y=-0.0167701 camera_base_pose.position.z=-0.0749489
camera_base_pose.position.x=0.167849 camera_base_pose.position.y=-0.188814 camera_base_pose.position.z=-0.206663
camera_base_pose.position.x=0.181012 camera_base_pose.position.y=-0.239142 camera_base_pose.position.z=-0.226727
camera_base_pose.position.x=0.203052 camera_base_pose.position.y=-0.263979 camera_base_pose.position.z=-0.248144
camera_base_pose.position.x=0.223599 camera_base_pose.position.y=-0.211044 camera_base_pose.position.z=-0.231124
camera_base_pose.position.x=0.139406 camera_base_pose.position.y=-0.0503089 camera_base_pose.position.z=-0.174372
camera_base_pose.position.x=0.103405 camera_base_pose.position.y=0.0428345 camera_base_pose.position.z=-0.0900294
camera_base_pose.position.x=0.113206 camera_base_pose.position.y=0.0404778 camera_base_pose.position.z=-0.124366
