camera_base_pose.position.x=9.52606e-06 camera_base_pose.position.y=0.00365546 camera_base_pose.position.z=0
camera_base_pose.position.x=0.000693569 camera_base_pose.position.y=0.000162975 camera_base_pose.position.z=0
camera_base_pose.position.x=0.000580837 camera_base_pose.position.y=-0.00398644 camera_base_pose.position.z=0
camera_base_pose.position.x=0.00126571 camera_base_pose.position.y=-0.0133482 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00031106 camera_base_pose.position.y=-0.011385 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00087758 camera_base_pose.position.y=-0.0105498 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00121551 camera_base_pose.position.y=-0.0156349 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.000562686 camera_base_pose.position.y=-0.0226283 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00098367 camera_base_pose.position.y=-0.0241532 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00121371 camera_base_pose.position.y=-0.0263653 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00168608 camera_base_pose.position.y=-0.0304733 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00181511 camera_base_pose.position.y=-0.0335902 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00221266 camera_base_pose.position.y=-0.0365299 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.0026501 camera_base_pose.position.y=-0.0345538 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00249692 camera_base_pose.position.y=-0.0378112 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00325062 camera_base_pose.position.y=-0.0428853 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.0033557 camera_base_pose.position.y=-0.0467614 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00357458 camera_base_pose.position.y=-0.0492697 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00391322 camera_base_pose.position.y=-0.0505239 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00376775 camera_base_pose.position.y=-0.0561222 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00526376 camera_base_pose.position.y=-0.0563296 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00472381 camera_base_pose.position.y=-0.0614944 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00478141 camera_base_pose.position.y=-0.0643756 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00538205 camera_base_pose.position.y=-0.0660917 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00566679 camera_base_pose.position.y=-0.0674836 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00614868 camera_base_pose.position.y=-0.0707361 camera_base_pose.position.z=0
camera_base_pose.position.x=-0.00655612 camera_base_pose.position.y=-0.0731295 camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
camera_base_pose.position.x=-nan camera_base_pose.position.y=-nan camera_base_pose.position.z=0
camera_base_pose.position.x=nan camera_base_pose.position.y=nan camera_base_pose.position.z=0
