ALLrealsec=1.36248 ,realsec=0.117748 ,Est_RobotX=0.032052,Est_RobotY=1.55998e-07,Est_RobotTH=0.000457893
ALLrealsec=1.47516 ,realsec=0.112681 ,Est_RobotX=0.0515729,Est_RobotY=4.24704e-05,Est_RobotTH=0.00326604
ALLrealsec=1.59443 ,realsec=0.119266 ,Est_RobotX=0.0760598,Est_RobotY=0.00024408,Est_RobotTH=0.00716441
ALLrealsec=1.76582 ,realsec=0.171394 ,Est_RobotX=0.0942671,Est_RobotY=0.000975135,Est_RobotTH=0.0199009
ALLrealsec=1.89983 ,realsec=0.134011 ,Est_RobotX=0.108725,Est_RobotY=0.00134383,Est_RobotTH=0.0231569
ALLrealsec=2.02722 ,realsec=0.127386 ,Est_RobotX=0.123033,Est_RobotY=0.00181747,Est_RobotTH=0.0339817
ALLrealsec=2.12157 ,realsec=0.094354 ,Est_RobotX=0.135097,Est_RobotY=0.0023564,Est_RobotTH=0.0425994
ALLrealsec=2.2206 ,realsec=0.099029 ,Est_RobotX=0.147627,Est_RobotY=0.00302074,Est_RobotTH=0.0494947
ALLrealsec=2.32468 ,realsec=0.104074 ,Est_RobotX=0.161871,Est_RobotY=0.00386499,Est_RobotTH=0.0565691
ALLrealsec=2.44145 ,realsec=0.11677 ,Est_RobotX=0.181935,Est_RobotY=0.00512069,Est_RobotTH=0.05853
ALLrealsec=2.60341 ,realsec=0.161964 ,Est_RobotX=0.213421,Est_RobotY=0.00721475,Est_RobotTH=0.0617153
ALLrealsec=2.73527 ,realsec=0.131859 ,Est_RobotX=0.241145,Est_RobotY=0.00912554,Est_RobotTH=0.0678372
ALLrealsec=2.79114 ,realsec=0.055866 ,Est_RobotX=0.253367,Est_RobotY=0.0100801,Est_RobotTH=0.0693149
ALLrealsec=2.8928 ,realsec=0.101661 ,Est_RobotX=0.277749,Est_RobotY=0.0118462,Est_RobotTH=0.0690654
ALLrealsec=2.99301 ,realsec=0.100214 ,Est_RobotX=0.302508,Est_RobotY=0.013612,Est_RobotTH=0.0710801
ALLrealsec=3.09341 ,realsec=0.100397 ,Est_RobotX=0.327886,Est_RobotY=0.0154692,Est_RobotTH=0.0720443
ALLrealsec=3.19351 ,realsec=0.100099 ,Est_RobotX=0.354005,Est_RobotY=0.0172995,Est_RobotTH=0.0719199
ALLrealsec=3.31421 ,realsec=0.120707 ,Est_RobotX=0.385885,Est_RobotY=0.019653,Est_RobotTH=0.0730399
ALLrealsec=3.41316 ,realsec=0.09895 ,Est_RobotX=0.411511,Est_RobotY=0.0215719,Est_RobotTH=0.0757996
ALLrealsec=3.5264 ,realsec=0.113234 ,Est_RobotX=0.440666,Est_RobotY=0.0238318,Est_RobotTH=0.0768601
ALLrealsec=3.62384 ,realsec=0.097444 ,Est_RobotX=0.465997,Est_RobotY=0.0258326,Est_RobotTH=0.0794138
ALLrealsec=3.75577 ,realsec=0.131932 ,Est_RobotX=0.499903,Est_RobotY=0.0286407,Est_RobotTH=0.0803235
ALLrealsec=3.85857 ,realsec=0.102801 ,Est_RobotX=0.524674,Est_RobotY=0.0307522,Est_RobotTH=0.082594
ALLrealsec=3.96254 ,realsec=0.103964 ,Est_RobotX=0.549805,Est_RobotY=0.0330175,Est_RobotTH=0.082998
ALLrealsec=4.05917 ,realsec=0.096635 ,Est_RobotX=0.573462,Est_RobotY=0.0352191,Est_RobotTH=0.0838438
ALLrealsec=4.1538 ,realsec=0.09463 ,Est_RobotX=0.595757,Est_RobotY=0.0372712,Est_RobotTH=0.0849616
ALLrealsec=4.28014 ,realsec=0.126337 ,Est_RobotX=0.626093,Est_RobotY=0.0400047,Est_RobotTH=0.0850426
ALLrealsec=4.40807 ,realsec=0.12793 ,Est_RobotX=0.656,Est_RobotY=0.0426868,Est_RobotTH=0.0848641
ALLrealsec=4.57358 ,realsec=0.165507 ,Est_RobotX=0.695561,Est_RobotY=0.0461429,Est_RobotTH=0.0851503
ALLrealsec=4.7181 ,realsec=0.144527 ,Est_RobotX=0.729627,Est_RobotY=0.0492082,Est_RobotTH=0.0840188
ALLrealsec=4.84013 ,realsec=0.122023 ,Est_RobotX=0.75975,Est_RobotY=0.0519222,Est_RobotTH=0.0845992
ALLrealsec=4.98936 ,realsec=0.149233 ,Est_RobotX=0.797104,Est_RobotY=0.0552443,Est_RobotTH=0.0833958
ALLrealsec=5.11949 ,realsec=0.130133 ,Est_RobotX=0.828707,Est_RobotY=0.0580097,Est_RobotTH=0.0827036
ALLrealsec=5.25353 ,realsec=0.13404 ,Est_RobotX=0.859809,Est_RobotY=0.0606912,Est_RobotTH=0.0814137
ALLrealsec=5.34858 ,realsec=0.095048 ,Est_RobotX=0.880119,Est_RobotY=0.0625045,Est_RobotTH=0.0802978
ALLrealsec=5.44666 ,realsec=0.098074 ,Est_RobotX=0.901123,Est_RobotY=0.064302,Est_RobotTH=0.0798666
ALLrealsec=5.56107 ,realsec=0.114415 ,Est_RobotX=0.926902,Est_RobotY=0.0663887,Est_RobotTH=0.0791943
ALLrealsec=5.67752 ,realsec=0.116448 ,Est_RobotX=0.95259,Est_RobotY=0.0684479,Est_RobotTH=0.0787159
ALLrealsec=5.79065 ,realsec=0.113134 ,Est_RobotX=0.978925,Est_RobotY=0.0705518,Est_RobotTH=0.0764467
ALLrealsec=5.88544 ,realsec=0.094783 ,Est_RobotX=1.00096,Est_RobotY=0.0723291,Est_RobotTH=0.076319
ALLrealsec=6.05278 ,realsec=0.167344 ,Est_RobotX=1.04076,Est_RobotY=0.075539,Est_RobotTH=0.0786453
ALLrealsec=6.10799 ,realsec=0.055214 ,Est_RobotX=1.05321,Est_RobotY=0.0765162,Est_RobotTH=0.0783546
ALLrealsec=6.22258 ,realsec=0.114585 ,Est_RobotX=1.08009,Est_RobotY=0.0786114,Est_RobotTH=0.0785985
ALLrealsec=6.31849 ,realsec=0.09591 ,Est_RobotX=1.10159,Est_RobotY=0.0803412,Est_RobotTH=0.0792319
ALLrealsec=6.42107 ,realsec=0.102581 ,Est_RobotX=1.12386,Est_RobotY=0.0821369,Est_RobotTH=0.0793655
ALLrealsec=6.53976 ,realsec=0.118687 ,Est_RobotX=1.14954,Est_RobotY=0.0842672,Est_RobotTH=0.0791092
ALLrealsec=6.65652 ,realsec=0.116766 ,Est_RobotX=1.17476,Est_RobotY=0.0864187,Est_RobotTH=0.0801634
ALLrealsec=6.77078 ,realsec=0.114258 ,Est_RobotX=1.19833,Est_RobotY=0.0884765,Est_RobotTH=0.0803002
ALLrealsec=6.93615 ,realsec=0.165371 ,Est_RobotX=1.23751,Est_RobotY=0.0917621,Est_RobotTH=0.0812731
ALLrealsec=7.0502 ,realsec=0.114051 ,Est_RobotX=1.26305,Est_RobotY=0.093936,Est_RobotTH=0.081914
ALLrealsec=7.18368 ,realsec=0.13348 ,Est_RobotX=1.29241,Est_RobotY=0.0964262,Est_RobotTH=0.0807978
ALLrealsec=7.28467 ,realsec=0.100983 ,Est_RobotX=1.31266,Est_RobotY=0.0982136,Est_RobotTH=0.0824304
ALLrealsec=7.39265 ,realsec=0.107981 ,Est_RobotX=1.33561,Est_RobotY=0.100253,Est_RobotTH=0.0815118
ALLrealsec=7.49375 ,realsec=0.101102 ,Est_RobotX=1.35693,Est_RobotY=0.102072,Est_RobotTH=0.0805489
