ALLrealsec=0 ,realsec=0 ,CameraLM[4][0]=3.01654,CameraLM[4][1]=0.265728
ALLrealsec=0.295139 ,realsec=0.295139 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=0.41585 ,realsec=0.120711 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=0.557334 ,realsec=0.141484 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=0.695057 ,realsec=0.137723 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=0.81573 ,realsec=0.120673 ,CameraLM[4][0]=3.01779,CameraLM[4][1]=0.267241
ALLrealsec=0.914298 ,realsec=0.098568 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=1.01176 ,realsec=0.097466 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=1.12723 ,realsec=0.11547 ,CameraLM[4][0]=3.03144,CameraLM[4][1]=0.267241
ALLrealsec=1.24473 ,realsec=0.117499 ,CameraLM[4][0]=3.01779,CameraLM[4][1]=0.267241
ALLrealsec=1.36248 ,realsec=0.117748 ,CameraLM[4][0]=3.01779,CameraLM[4][1]=0.267241
ALLrealsec=1.47516 ,realsec=0.112681 ,CameraLM[4][0]=3.01779,CameraLM[4][1]=0.267241
ALLrealsec=1.59443 ,realsec=0.119266 ,CameraLM[4][0]=3.01779,CameraLM[4][1]=0.267241
ALLrealsec=1.89983 ,realsec=0.134011 ,CameraLM[4][0]=2.9578,CameraLM[4][1]=0.274784
ALLrealsec=2.2206 ,realsec=0.099029 ,CameraLM[4][0]=2.97205,CameraLM[4][1]=0.276289
ALLrealsec=2.32468 ,realsec=0.104074 ,CameraLM[4][0]=2.94355,CameraLM[4][1]=0.273278
ALLrealsec=2.60341 ,realsec=0.161964 ,CameraLM[4][0]=2.92807,CameraLM[4][1]=0.270262
ALLrealsec=2.79114 ,realsec=0.055866 ,CameraLM[4][0]=2.92807,CameraLM[4][1]=0.270262
ALLrealsec=2.8928 ,realsec=0.101661 ,CameraLM[4][0]=2.91872,CameraLM[4][1]=0.274784
ALLrealsec=3.09341 ,realsec=0.100397 ,CameraLM[4][0]=2.88356,CameraLM[4][1]=0.277792
ALLrealsec=3.19351 ,realsec=0.100099 ,CameraLM[4][0]=2.7798,CameraLM[4][1]=0.282295
ALLrealsec=3.31421 ,realsec=0.120707 ,CameraLM[4][0]=2.76814,CameraLM[4][1]=0.282295
ALLrealsec=3.41316 ,realsec=0.09895 ,CameraLM[4][0]=2.76935,CameraLM[4][1]=0.283794
ALLrealsec=3.5264 ,realsec=0.113234 ,CameraLM[4][0]=2.72421,CameraLM[4][1]=0.283794
ALLrealsec=3.62384 ,realsec=0.097444 ,CameraLM[4][0]=2.70357,CameraLM[4][1]=0.285291
ALLrealsec=3.75577 ,realsec=0.131932 ,CameraLM[4][0]=2.68169,CameraLM[4][1]=0.285291
ALLrealsec=3.85857 ,realsec=0.102801 ,CameraLM[4][0]=2.68287,CameraLM[4][1]=0.286786
ALLrealsec=3.96254 ,realsec=0.103964 ,CameraLM[4][0]=2.64061,CameraLM[4][1]=0.286786
ALLrealsec=4.05917 ,realsec=0.096635 ,CameraLM[4][0]=2.62959,CameraLM[4][1]=0.286786
ALLrealsec=4.1538 ,realsec=0.09463 ,CameraLM[4][0]=2.62173,CameraLM[4][1]=0.289774
ALLrealsec=4.28014 ,realsec=0.126337 ,CameraLM[4][0]=2.58516,CameraLM[4][1]=0.294245
ALLrealsec=4.40807 ,realsec=0.12793 ,CameraLM[4][0]=2.5678,CameraLM[4][1]=0.297219
ALLrealsec=4.57358 ,realsec=0.165507 ,CameraLM[4][0]=2.52428,CameraLM[4][1]=0.303152
ALLrealsec=4.7181 ,realsec=0.144527 ,CameraLM[4][0]=2.49922,CameraLM[4][1]=0.307586
ALLrealsec=4.84013 ,realsec=0.122023 ,CameraLM[4][0]=2.4292,CameraLM[4][1]=0.310536
ALLrealsec=4.98936 ,realsec=0.149233 ,CameraLM[4][0]=2.40865,CameraLM[4][1]=0.317885
ALLrealsec=5.11949 ,realsec=0.130133 ,CameraLM[4][0]=2.39657,CameraLM[4][1]=0.323739
ALLrealsec=5.25353 ,realsec=0.13404 ,CameraLM[4][0]=2.40131,CameraLM[4][1]=0.329571
ALLrealsec=5.34858 ,realsec=0.095048 ,CameraLM[4][0]=2.39485,CameraLM[4][1]=0.332477
ALLrealsec=5.44666 ,realsec=0.098074 ,CameraLM[4][0]=2.38158,CameraLM[4][1]=0.336827
ALLrealsec=5.56107 ,realsec=0.114415 ,CameraLM[4][0]=2.35462,CameraLM[4][1]=0.344047
ALLrealsec=5.67752 ,realsec=0.116448 ,CameraLM[4][0]=2.31877,CameraLM[4][1]=0.348361
ALLrealsec=5.79065 ,realsec=0.113134 ,CameraLM[4][0]=2.29081,CameraLM[4][1]=0.352661
ALLrealsec=5.88544 ,realsec=0.094783 ,CameraLM[4][0]=2.22601,CameraLM[4][1]=0.355521
ALLrealsec=6.05278 ,realsec=0.167344 ,CameraLM[4][0]=2.21377,CameraLM[4][1]=0.358374
ALLrealsec=6.10799 ,realsec=0.055214 ,CameraLM[4][0]=2.1901,CameraLM[4][1]=0.364063
ALLrealsec=6.22258 ,realsec=0.114585 ,CameraLM[4][0]=2.1725,CameraLM[4][1]=0.368313
ALLrealsec=6.31849 ,realsec=0.09591 ,CameraLM[4][0]=2.16841,CameraLM[4][1]=0.371139
ALLrealsec=6.42107 ,realsec=0.102581 ,CameraLM[4][0]=2.15812,CameraLM[4][1]=0.375366
ALLrealsec=6.53976 ,realsec=0.118687 ,CameraLM[4][0]=2.13479,CameraLM[4][1]=0.379579
ALLrealsec=6.65652 ,realsec=0.116766 ,CameraLM[4][0]=2.12947,CameraLM[4][1]=0.38098
ALLrealsec=6.77078 ,realsec=0.114258 ,CameraLM[4][0]=2.10572,CameraLM[4][1]=0.383778
ALLrealsec=6.93615 ,realsec=0.165371 ,CameraLM[4][0]=2.02511,CameraLM[4][1]=0.390745
ALLrealsec=7.0502 ,realsec=0.114051 ,CameraLM[4][0]=2.01841,CameraLM[4][1]=0.396289
ALLrealsec=7.18368 ,realsec=0.13348 ,CameraLM[4][0]=1.99477,CameraLM[4][1]=0.403184
ALLrealsec=7.28467 ,realsec=0.100983 ,CameraLM[4][0]=1.98448,CameraLM[4][1]=0.404558
ALLrealsec=7.39265 ,realsec=0.107981 ,CameraLM[4][0]=1.96137,CameraLM[4][1]=0.410039
ALLrealsec=7.49375 ,realsec=0.101102 ,CameraLM[4][0]=1.93445,CameraLM[4][1]=0.416853
ALLrealsec=7.61844 ,realsec=0.124695 ,CameraLM[4][0]=1.91897,CameraLM[4][1]=0.423626
ALLrealsec=7.73236 ,realsec=0.113915 ,CameraLM[4][0]=1.87313,CameraLM[4][1]=0.430358
ALLrealsec=7.89153 ,realsec=0.159171 ,CameraLM[4][0]=1.84423,CameraLM[4][1]=0.442371
ALLrealsec=14.7628 ,realsec=0.16535 ,CameraLM[4][0]=0.996224,CameraLM[4][1]=0.348361
ALLrealsec=14.8965 ,realsec=0.133753 ,CameraLM[4][0]=0.993284,CameraLM[4][1]=0.319351
ALLrealsec=15.2959 ,realsec=0.145905 ,CameraLM[4][0]=0.982337,CameraLM[4][1]=0.225984
ALLrealsec=15.4706 ,realsec=0.174721 ,CameraLM[4][0]=0.975846,CameraLM[4][1]=0.179214
ALLrealsec=16.1088 ,realsec=0.111879 ,CameraLM[4][0]=0.996358,CameraLM[4][1]=-0.00410667
ALLrealsec=16.438 ,realsec=0.111181 ,CameraLM[4][0]=0.986202,CameraLM[4][1]=-0.101267
ALLrealsec=16.5711 ,realsec=0.133075 ,CameraLM[4][0]=0.995476,CameraLM[4][1]=-0.131724
ALLrealsec=16.9041 ,realsec=0.083942 ,CameraLM[4][0]=0.998785,CameraLM[4][1]=-0.212133
ALLrealsec=17.299 ,realsec=0.086688 ,CameraLM[4][0]=1.00192,CameraLM[4][1]=-0.292837
ALLrealsec=17.5057 ,realsec=0.092352 ,CameraLM[4][0]=0.999754,CameraLM[4][1]=-0.341241
ALLrealsec=17.827 ,realsec=0.204283 ,CameraLM[4][0]=1.02367,CameraLM[4][1]=-0.401883
ALLrealsec=20.267 ,realsec=0.834869 ,CameraLM[6][0]=6.21305,CameraLM[6][1]=-0.123731
ALLrealsec=20.267 ,realsec=0.834869 ,CameraLM[5][0]=2.40296,CameraLM[5][1]=-0.310615
ALLrealsec=20.3656 ,realsec=0.098594 ,CameraLM[6][0]=6.25684,CameraLM[6][1]=-0.125331
ALLrealsec=20.3656 ,realsec=0.098594 ,CameraLM[5][0]=2.41174,CameraLM[5][1]=-0.310615
ALLrealsec=20.5034 ,realsec=0.137843 ,CameraLM[6][0]=6.2143,CameraLM[6][1]=-0.125331
ALLrealsec=20.5034 ,realsec=0.137843 ,CameraLM[5][0]=2.40296,CameraLM[5][1]=-0.310615
ALLrealsec=20.5604 ,realsec=0.056936 ,CameraLM[6][0]=6.25684,CameraLM[6][1]=-0.125331
ALLrealsec=20.5604 ,realsec=0.056936 ,CameraLM[5][0]=2.41174,CameraLM[5][1]=-0.310615
ALLrealsec=20.6659 ,realsec=0.105552 ,CameraLM[6][0]=6.17171,CameraLM[6][1]=-0.125331
ALLrealsec=20.6659 ,realsec=0.105552 ,CameraLM[5][0]=2.36954,CameraLM[5][1]=-0.310615
ALLrealsec=20.7857 ,realsec=0.119734 ,CameraLM[6][0]=6.2143,CameraLM[6][1]=-0.125331
ALLrealsec=20.7857 ,realsec=0.119734 ,CameraLM[5][0]=2.38627,CameraLM[5][1]=-0.310615
ALLrealsec=20.88 ,realsec=0.094397 ,CameraLM[5][0]=2.40296,CameraLM[5][1]=-0.310615
ALLrealsec=20.9965 ,realsec=0.116486 ,CameraLM[5][0]=2.39506,CameraLM[5][1]=-0.310615
ALLrealsec=21.1345 ,realsec=0.137969 ,CameraLM[5][0]=2.36417,CameraLM[5][1]=-0.325278
ALLrealsec=21.2498 ,realsec=0.11527 ,CameraLM[5][0]=2.35285,CameraLM[5][1]=-0.331103
ALLrealsec=21.4971 ,realsec=0.132518 ,CameraLM[5][0]=2.34542,CameraLM[5][1]=-0.342683
ALLrealsec=21.7103 ,realsec=0.115909 ,CameraLM[5][0]=2.33412,CameraLM[5][1]=-0.348438
ALLrealsec=21.7921 ,realsec=0.081791 ,CameraLM[5][0]=2.29209,CameraLM[5][1]=-0.354169
ALLrealsec=21.9028 ,realsec=0.110749 ,CameraLM[5][0]=2.29575,CameraLM[5][1]=-0.358451
ALLrealsec=21.997 ,realsec=0.09416 ,CameraLM[5][0]=2.24912,CameraLM[5][1]=-0.357025
ALLrealsec=22.1135 ,realsec=0.116543 ,CameraLM[5][0]=2.24424,CameraLM[5][1]=-0.359875
ALLrealsec=22.2437 ,realsec=0.130229 ,CameraLM[6][0]=6.19067,CameraLM[6][1]=-0.14766
ALLrealsec=22.2437 ,realsec=0.130229 ,CameraLM[5][0]=2.19135,CameraLM[5][1]=-0.365557
ALLrealsec=22.3583 ,realsec=0.114545 ,CameraLM[6][0]=6.10298,CameraLM[6][1]=-0.14607
ALLrealsec=22.3583 ,realsec=0.114545 ,CameraLM[5][0]=2.15755,CameraLM[5][1]=-0.366974
ALLrealsec=22.4843 ,realsec=0.125972 ,CameraLM[6][0]=6.14775,CameraLM[6][1]=-0.14766
ALLrealsec=22.4843 ,realsec=0.125972 ,CameraLM[5][0]=2.1517,CameraLM[5][1]=-0.375442
ALLrealsec=22.6455 ,realsec=0.161226 ,CameraLM[5][0]=2.14017,CameraLM[5][1]=-0.378252
ALLrealsec=22.7013 ,realsec=0.05586 ,CameraLM[5][0]=2.13605,CameraLM[5][1]=-0.381056
ALLrealsec=22.8038 ,realsec=0.102473 ,CameraLM[5][0]=2.08644,CameraLM[5][1]=-0.39082
ALLrealsec=22.9293 ,realsec=0.125453 ,CameraLM[5][0]=2.04572,CameraLM[5][1]=-0.400505
ALLrealsec=23.0449 ,realsec=0.115593 ,CameraLM[6][0]=6.0734,CameraLM[6][1]=-0.160355
ALLrealsec=23.0449 ,realsec=0.115593 ,CameraLM[5][0]=2.00766,CameraLM[5][1]=-0.411478
ALLrealsec=23.1563 ,realsec=0.111414 ,CameraLM[6][0]=6.03171,CameraLM[6][1]=-0.161938
ALLrealsec=23.1563 ,realsec=0.111414 ,CameraLM[5][0]=2.01701,CameraLM[5][1]=-0.415567
ALLrealsec=23.2758 ,realsec=0.119498 ,CameraLM[6][0]=6.11962,CameraLM[6][1]=-0.163521
ALLrealsec=23.2758 ,realsec=0.119498 ,CameraLM[5][0]=1.9851,CameraLM[5][1]=-0.425048
ALLrealsec=23.4096 ,realsec=0.133863 ,CameraLM[6][0]=5.95125,CameraLM[6][1]=-0.168263
ALLrealsec=23.5247 ,realsec=0.115103 ,CameraLM[6][0]=5.99467,CameraLM[6][1]=-0.168263
ALLrealsec=23.7338 ,realsec=0.086176 ,CameraLM[6][0]=5.94966,CameraLM[6][1]=-0.166683
ALLrealsec=23.8915 ,realsec=0.157647 ,CameraLM[6][0]=5.94808,CameraLM[6][1]=-0.165103
ALLrealsec=24.1492 ,realsec=0.108003 ,CameraLM[6][0]=5.99148,CameraLM[6][1]=-0.165103
ALLrealsec=24.651 ,realsec=0.163573 ,CameraLM[6][0]=5.77871,CameraLM[6][1]=-0.166683
ALLrealsec=24.7011 ,realsec=0.050028 ,CameraLM[6][0]=5.69464,CameraLM[6][1]=-0.166683
